"SENSOR1","SENSOR2","SENSOR3","TIPO"
"1016","888","1003","PLANA"
"1099","895","1012","PLANA"
"1099","895","1012","PLANA"
"1099","871","1011","PLANA"
"1099","894","1012","PLANA"
"1099","903","1011","PLANA"
"1099","895","1012","PLANA"
"1099","895","1011","PLANA"
"1099","895","1011","PLANA"
"1099","895","1011","PLANA"
"1099","895","1011","PLANA"
"1099","895","1011","PLANA"
"1099","895","1012","PLANA"
"1099","895","1012","PLANA"
"1024","895","1012","PLANA"
"1099","898","1011","PLANA"
"1025","895","1012","PLANA"
"1025","898","1011","PLANA"
"1024","898","1011","PLANA"
"1025","898","1011","PLANA"
"1025","898","1011","PLANA"
"1025","895","1011","PLANA"
"1025","898","1011","PLANA"
"1025","895","1012","PLANA"
"1025","895","1011","PLANA"
"1025","895","1012","PLANA"
"1024","901","1011","PLANA"
"1025","895","1011","PLANA"
"1025","898","1011","PLANA"
"1024","895","1011","PLANA"
"1024","898","1011","PLANA"
"1025","904","1011","PLANA"
"1024","898","1012","PLANA"
"1024","871","1011","PLANA"
"1025","898","1011","PLANA"
"1024","895","1012","PLANA"
"1024","904","1011","PLANA"
"1024","898","1011","PLANA"
"1024","895","1011","PLANA"
"1025","898","1011","PLANA"
"1025","898","1011","PLANA"
"1025","903","1011","PLANA"
"1025","895","1011","PLANA"
"1025","898","1011","PLANA"
"1025","898","1011","PLANA"
"1024","897","1011","PLANA"
"1025","895","1011","PLANA"
"1024","895","1012","PLANA"
"1025","899","1012","PLANA"
"1024","898","1012","PLANA"
"1159","746","967","CONVEXA"
"2013","736","2424","CONVEXA"
"1294","736","2119","CONVEXA"
"1271","714","1179","CONVEXA"
"2040","636","2132","CONVEXA"
"2013","576","1105","CONVEXA"
"2013","488","1708","CONVEXA"
"1638","462","2024","CONVEXA"
"1261","389","2118","CONVEXA"
"3196","393","2090","CONVEXA"
"1260","368","3369","CONVEXA"
"1638","417","1980","CONVEXA"
"3180","606","2050","CONVEXA"
"2013","570","2165","CONVEXA"
"1637","612","992","CONVEXA"
"2013","643","2239","CONVEXA"
"2013","657","2090","CONVEXA"
"1644","630","2118","CONVEXA"
"1257","727","2359","CONVEXA"
"1668","675","2305","CONVEXA"
"1192","512","2198","CONVEXA"
"1210","425","2299","CONVEXA"
"1668","373","2024","CONVEXA"
"1674","344","2023","CONVEXA"
"1668","362","2211","CONVEXA"
"1788","488","2117","CONVEXA"
"1244","657","905","CONVEXA"
"1668","735","843","CONVEXA"
"2013","699","881","CONVEXA"
"1490","717","900","CONVEXA"
"1546","735","1216","CONVEXA"
"2700","524","2024","CONVEXA"
"1311","494","1949","CONVEXA"
"1540","428","2239","CONVEXA"
"1185","356","2023","CONVEXA"
"1191","335","2024","CONVEXA"
"1668","413","1995","CONVEXA"
"1667","521","2037","CONVEXA"
"1789","593","3213","CONVEXA"
"932","635","900","CONVEXA"
"876","696","850","CONVEXA"
"2013","678","881","CONVEXA"
"1864","606","862","CONVEXA"
"1713","486","1677","CONVEXA"
"2014","422","2051","CONVEXA"
"2013","410","2092","CONVEXA"
"1210","377","2010","CONVEXA"
"1261","434","1995","CONVEXA"
"2014","491","2037","CONVEXA"
"1644","567","955","CONVEXA"
"2053","844","956","CONCAVA"
"895","922","849","CONCAVA"
"876","756","805","CONCAVA"
"895","70","788","CONCAVA"
"845","880","736","CONCAVA"
"858","863","708","CONCAVA"
"839","816","771","CONCAVA"
"784","847","726","CONCAVA"
"839","856","825","CONCAVA"
"820","898","844","CONCAVA"
"773","799","862","CONCAVA"
"839","871","788","CONCAVA"
"2054","895","617","CONCAVA"
"1614","868","844","CONCAVA"
"3246","898","881","CONCAVA"
"839","808","1453","CONCAVA"
"687","834","1234","CONCAVA"
"738","898","719","CONCAVA"
"784","838","657","CONCAVA"
"821","877","685","CONCAVA"
"766","898","777","CONCAVA"
"821","854","825","CONCAVA"
"858","832","844","CONCAVA"
"858","826","900","CONCAVA"
"951","67","900","CONCAVA"
"969","856","937","CONCAVA"
"969","865","1030","CONCAVA"
"969","886","1068","CONCAVA"
"932","73","844","CONCAVA"
"932","922","975","CONCAVA"
"876","874","805","CONCAVA"
"839","947","720","CONCAVA"
"807","973","720","CONCAVA"
"716","901","708","CONCAVA"
"784","847","862","CONCAVA"
"845","826","668","CONCAVA"
"733","868","668","CONCAVA"
"807","928","753","CONCAVA"
"1210","901","788","CONCAVA"
"1255","901","881","CONCAVA"
"845","901","634","CONCAVA"
"750","852","754","CONCAVA"
"951","886","881","CONCAVA"
"913","862","881","CONCAVA"
"954","24","918","CONCAVA"
"950","837","918","CONCAVA"
"919","858","1030","CONCAVA"
"938","835","881","CONCAVA"
"987","859","881","CONCAVA"
"932","859","881","CONCAVA"
