SENSOR1,SENSOR2,SENSOR3
1295,1137,1517
1289,1137,1523
1295,1137,1568
1295,1136,1523
1296,1137,1517
1295,1130,1574
1295,1136,1568
1295,1134,1568
1289,1137,1574
1295,1137,1568
1296,1128,1574
1295,1137,1568
1295,1138,1567
1289,1137,1574
1345,1135,1568
1346,1137,1574
1340,1137,1574
1345,1137,1568
1295,1111,1574
1295,1137,1568
1295,1137,1574
1339,1135,1523
1396,1138,1517
1346,1131,1574
1340,1138,1567
1345,1137,1568
1295,1135,1523
1346,1135,1568
1346,1137,1523
1339,1135,1574
1295,1134,1568
1295,1132,1574
1346,1137,1568
1295,1137,1568
1339,1135,1523
1396,1135,1568
1345,1111,1574
1390,1137,1574
1295,1111,1517
1296,1137,1523
1345,1135,1568
1295,1111,1574
1289,1135,1574
1295,1135,1568
1340,1137,1523
1345,1137,1517
1346,1111,1523
